
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,22,SAC,NBA,PG,65,37,25.5,3.9,8.8,.448,1.3,3.4,.379,2.7,5.4,.491,.521,2.4,2.8,.832,0.7,1.8,2.6,4.1,0.8,0.1,1.6,1.9,11.5
2012-13,23,SAC,NBA,PG,79,62,26.9,4.6,10.5,.440,1.5,4.1,.358,3.2,6.5,.491,.509,3.2,3.6,.882,0.4,1.7,2.0,4.0,0.8,0.0,1.8,2.1,13.9
2013-14,24,SAC,NBA,PG,72,54,34.7,6.9,15.2,.453,1.8,5.1,.349,5.1,10.2,.504,.510,4.8,5.7,.850,0.7,2.3,2.9,6.3,1.3,0.1,3.0,2.6,20.3
2014-15,25,TOT,NBA,PG,67,1,25.8,5.0,11.9,.420,1.9,5.2,.373,3.1,6.7,.457,.501,4.5,5.2,.868,0.5,1.8,2.3,4.2,0.9,0.1,2.1,2.2,16.4
2014-15,25,PHO,NBA,PG,46,1,25.7,4.7,11.1,.426,1.8,4.5,.391,3.0,6.6,.449,.505,4.0,4.6,.872,0.6,1.8,2.4,3.7,1.0,0.1,1.9,2.3,15.2
2014-15,25,BOS,NBA,PG,21,0,26.0,5.6,13.6,.411,2.3,6.6,.345,3.3,7.0,.473,.495,5.6,6.5,.861,0.3,1.8,2.1,5.4,0.6,0.0,2.6,2.1,19.0
2015-16,26,BOS,NBA,PG,50,47,32.3,6.9,16.4,.423,2.0,5.8,.347,4.9,10.6,.464,.484,5.6,6.2,.894,0.5,2.4,3.0,6.6,1.1,0.1,2.8,2.0,21.5
Career,,,NBA,,333,201,28.9,5.4,12.4,.437,1.7,4.6,.360,3.7,7.7,.483,.505,4.0,4.6,.867,0.5,2.0,2.5,5.0,1.0,0.1,2.2,2.2,16.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,SAC,NBA,,216,153,29.1,5.2,11.6,.447,1.5,4.2,.360,3.7,7.4,.497,.512,3.5,4.1,.857,0.6,1.9,2.5,4.8,1.0,0.1,2.1,2.2,15.3
2 seasons,,BOS,NBA,,71,47,30.5,6.5,15.6,.420,2.1,6.1,.347,4.4,9.5,.466,.487,5.6,6.3,.884,0.5,2.2,2.7,6.3,1.0,0.0,2.7,2.1,20.7
1 season,,PHO,NBA,,46,1,25.7,4.7,11.1,.426,1.8,4.5,.391,3.0,6.6,.449,.505,4.0,4.6,.872,0.6,1.8,2.4,3.7,1.0,0.1,1.9,2.3,15.2
