
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,20,MIL,NBA,PG,82,2671,14.5,.475,.319,.225,2.0,10.4,6.0,29.6,2.1,0.5,13.0,26.1,,0.3,3.9,4.2,.075,,0.6,0.2,0.9,1.9
2010-11,21,MIL,NBA,PG,63,2169,15.6,.493,.327,.266,2.2,10.6,6.3,25.9,2.3,0.8,12.4,25.5,,0.6,3.3,3.9,.086,,1.1,0.7,1.8,2.1
2011-12,22,MIL,NBA,PG,66,2331,18.4,.514,.346,.213,2.3,8.6,5.3,26.7,2.3,0.7,10.6,25.9,,3.8,1.8,5.5,.114,,3.6,-1.3,2.3,2.5
2012-13,23,MIL,NBA,PG,80,2897,16.1,.510,.370,.225,2.1,7.2,4.6,29.1,2.2,0.3,12.9,23.7,,3.6,2.2,5.8,.096,,2.4,-1.5,0.9,2.1
2013-14,24,DET,NBA,PG,80,2728,15.6,.486,.403,.283,2.2,7.8,4.9,34.4,1.9,0.2,14.4,23.4,,3.0,0.9,3.9,.068,,2.1,-2.6,-0.5,1.0
2014-15,25,DET,NBA,PG,41,1173,19.7,.522,.389,.263,1.9,8.0,4.8,39.9,1.9,0.3,12.9,26.3,,2.6,0.7,3.3,.136,,4.3,-2.5,1.8,1.1
2015-16,26,TOT,NBA,PG,31,555,13.7,.494,.527,.244,1.7,10.4,5.9,27.3,1.5,0.6,13.9,20.4,,0.5,0.5,1.1,.091,,0.4,-1.5,-1.1,0.1
2015-16,26,DET,NBA,PG,23,416,13.3,.491,.538,.266,1.3,11.2,6.0,25.7,1.3,0.4,12.1,19.0,,0.5,0.4,0.9,.101,,0.4,-1.3,-0.9,0.1
2015-16,26,ORL,NBA,PG,8,139,14.9,.501,.500,.190,3.1,8.1,5.6,32.2,2.2,1.2,18.2,24.5,,0.1,0.1,0.2,.062,,0.5,-2.2,-1.6,0.0
Career,,,NBA,,443,14524,16.2,.498,.362,.243,2.1,8.8,5.3,30.1,2.1,0.5,12.8,24.8,,14.3,13.3,27.6,.091,,2.1,-1.1,1.0,10.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MIL,NBA,,291,10068,16.1,.498,.341,.230,2.1,9.1,5.5,28.0,2.2,0.5,12.3,25.2,,8.2,11.2,19.4,.092,,1.9,-0.5,1.4,8.6
3 seasons,,DET,NBA,,144,4317,16.5,.497,.409,.276,2.0,8.2,5.0,35.0,1.8,0.3,13.8,23.8,,6.1,2.0,8.1,.090,,2.5,-2.5,0.1,2.3
1 season,,ORL,NBA,,8,139,14.9,.501,.500,.190,3.1,8.1,5.6,32.2,2.2,1.2,18.2,24.5,,0.1,0.1,0.2,.062,,0.5,-2.2,-1.6,0.0
