
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,19,PHI,NBA,PG,73,1767,12.3,.526,.306,.165,3.7,9.1,6.4,24.4,2.3,0.8,21.9,18.4,,0.2,1.0,1.2,.032,,-0.8,-1.0,-1.8,0.1
2010-11,20,PHI,NBA,PG,82,2901,15.4,.525,.222,.209,2.7,10.5,6.6,29.0,2.2,0.8,16.7,20.8,,2.2,3.5,5.7,.094,,0.8,0.6,1.4,2.5
2011-12,21,PHI,NBA,PG,65,2196,14.7,.496,.205,.144,2.9,7.9,5.4,21.6,2.5,0.6,13.2,21.8,,0.9,3.3,4.2,.092,,0.2,0.6,0.9,1.6
2012-13 ★,22,PHI,NBA,PG,78,2926,16.7,.496,.192,.188,3.3,9.5,6.4,36.5,2.2,0.9,17.3,26.6,,0.6,2.7,3.3,.055,,1.0,-0.4,0.6,1.9
2013-14,23,NOP,NBA,PG,34,1143,17.1,.505,.170,.139,2.8,11.8,7.2,38.9,2.6,0.9,17.9,23.3,,0.8,0.7,1.5,.064,,1.5,-0.8,0.7,0.8
2014-15,24,NOP,NBA,PG,40,1303,18.8,.522,.253,.142,2.8,9.0,5.9,34.9,2.5,1.3,13.8,23.1,,2.3,1.1,3.4,.124,,3.0,-0.7,2.3,1.4
2015-16,25,NOP,NBA,PG,53,1418,19.9,.528,.269,.243,1.8,10.5,6.0,38.1,2.3,1.0,14.1,28.5,,1.9,0.9,2.9,.098,,3.0,-1.3,1.7,1.3
Career,,,NBA,,425,13654,16.1,.512,.225,.181,2.9,9.7,6.2,31.2,2.3,0.9,16.3,23.1,,8.9,13.3,22.2,.078,,1.1,-0.3,0.8,9.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,PHI,NBA,,298,9790,15.1,.508,.219,.180,3.1,9.4,6.2,28.8,2.3,0.8,16.9,22.3,,3.8,10.6,14.4,.071,,0.5,0.0,0.5,6.1
3 seasons,,NOP,NBA,,127,3864,18.7,.520,.237,.183,2.4,10.4,6.3,37.2,2.5,1.1,15.1,25.1,,5.1,2.7,7.8,.097,,2.6,-1.0,1.6,3.5
